ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes
81,Completed,Jupiter's Travels,Ted Simon,unknown,unknown,unknown,,1979,Multiple,,2,gemini,World by motorcycle
82,Completed,Travels in West Africa,Mary Kingsley,unknown,unknown,unknown,,1897,Africa,Africa,2,gemini,Victorian female explorer
83,Completed,Blood River,Tim Butcher,unknown,unknown,unknown,,2007,Africa / Congo,Africa,2,gemini,Congo River journey
84,Completed,Terra Incognita,Sara Wheeler,unknown,unknown,unknown,,1996,Antarctica,Antarctica,2,gemini,Female Antarctic
85,Completed,Into the Heart of Borneo,Redmond O'Hanlon,unknown,unknown,unknown,,1984,Asia / Borneo,Asia,2,gemini+chatgpt+user,Humor and adventure
86,Cut,The Caliph's House,Tahir Shah,unknown,unknown,unknown,,2006,Africa / Morocco,Africa,2,gemini+chatgpt,Expat in Casablanca
87,Cut,One for the Road,Tony Horwitz,unknown,unknown,unknown,,1987,Oceania / Australia,Oceania,2,gemini,Hitchhiking
89,Completed,The Narrow Road to the Deep North,Matsuo Bashō,unknown,unknown,unknown,,1702,Asia / Japan,Asia,4,gemini,17th C haiku travel
92,Completed,The Cruel Way,Ella Maillart,unknown,unknown,unknown,,1947,Asia / Afghanistan,Asia,3,gemini,Wartime journey
93,Cut,Poisoned Arrows,George Monbiot,unknown,unknown,unknown,,1989,Oceania / West Papua,Oceania,4,gemini,Activist obscure
94,Cut,The Lawless Roads,Graham Greene,unknown,unknown,unknown,,1939,North America / Mexico,North America,3,gemini,Political journey
95,HonorableMention,The Gentleman in the Parlour,W. Somerset Maugham,unknown,unknown,unknown,,1930,Asia,Asia,3,gemini,SE Asia literary
96,Completed,Travels with a Donkey in the Cévennes,Robert Louis Stevenson,unknown,unknown,unknown,,1879,Europe / France,Europe,2,gemini,Classic walking
97,HonorableMention,The Journal of a Tour to the Hebrides,James Boswell,unknown,unknown,unknown,,1785,Europe / Scotland,Europe,3,gemini,18th C Scotland
98,Completed,A Small Place,Jamaica Kincaid,unknown,unknown,unknown,,1988,Caribbean / Antigua,,3,gemini,Anti-tourism essay
99,Completed,In an Antique Land,Amitav Ghosh,unknown,unknown,unknown,,1992,Africa / Egypt,Africa,3,gemini,Historical layered
100,HonorableMention,Tiger of the Snows,Tenzing Norgay,unknown,unknown,unknown,,1955,Asia / Himalayas,Asia,3,gemini,Everest climb
101,HonorableMention,Slowly Down the Ganges,Eric Newby,unknown,unknown,unknown,,1966,Asia / India,Asia,2,user,River journey
102,HonorableMention,Winter in Arabia,Freya Stark,unknown,unknown,unknown,,1940,Middle East,Asia,3,chatgpt,Classic exploration
103,HonorableMention,Dark Star Safari,Paul Theroux,unknown,unknown,unknown,,2002,Africa,Africa,2,chatgpt,Cairo to Cape Town
104,HonorableMention,Notes from a Small Island,Bill Bryson,unknown,unknown,unknown,,1995,Europe / UK,Europe,2,chatgpt,Britain humor
105,HonorableMention,Neither Here nor There,Bill Bryson,unknown,unknown,unknown,,1991,Europe,Europe,2,chatgpt,Europe backpacking
106,HonorableMention,Into Thin Air,Jon Krakauer,unknown,unknown,unknown,,1997,Asia / Himalayas,Asia,1,chatgpt+user,Everest disaster
107,HonorableMention,The Old Patagonian Express,Paul Theroux,unknown,unknown,unknown,,1979,South America,South America,2,chatgpt,Train to Patagonia
108,HonorableMention,Between the Woods and the Water,Patrick Leigh Fermor,unknown,unknown,unknown,,1986,Europe,Europe,2,chatgpt,Fermor sequel
109,HonorableMention,The Broken Road,Patrick Leigh Fermor,unknown,unknown,unknown,,2013,Europe / Asia,Europe|Asia,3,chatgpt,Posthumous Fermor
110,HonorableMention,Imperium,Ryszard Kapuściński,unknown,unknown,unknown,,1993,Europe / Soviet Union,Europe,2,chatgpt,Soviet collapse
111,HonorableMention,The Songlines,Bruce Chatwin,unknown,unknown,unknown,,1987,Oceania / Australia,Oceania,2,chatgpt+user,Aboriginal philosophy
112,HonorableMention,Nine Lives,William Dalrymple,unknown,unknown,unknown,,2009,Asia / India,Asia,2,chatgpt,Sacred India
113,HonorableMention,In Xanadu,William Dalrymple,unknown,unknown,unknown,,1989,Asia,Asia,2,chatgpt,Kubla Khan quest
114,HonorableMention,The Happy Isles of Oceania,Paul Theroux,unknown,unknown,unknown,,1992,Oceania,Oceania,2,chatgpt,Pacific kayaking
115,HonorableMention,Oracle Bones,Peter Hessler,unknown,unknown,unknown,,2006,Asia / China,Asia,2,chatgpt,China archaeology
117,Completed,A House in Bali,Colin McPhee,unknown,unknown,unknown,,1946,Asia / Indonesia,Asia,3,chatgpt,Musical memoir
118,HonorableMention,No Mercy,Redmond O'Hanlon,unknown,unknown,unknown,,1997,Africa / Congo,Africa,2,chatgpt,Jungle adventure
119,Cut,Pilgrim at Tinker Creek,Annie Dillard,unknown,unknown,unknown,,1974,North America,North America,2,chatgpt,Nature meditation
120,HonorableMention,A Turn in the South,V.S. Naipaul,unknown,unknown,unknown,,1989,North America,North America,2,chatgpt,American South
121,HonorableMention,Among the Believers,V.S. Naipaul,unknown,unknown,unknown,,1981,Multiple,,3,chatgpt,Islamic world
122,HonorableMention,The Lost Continent,Bill Bryson,unknown,unknown,unknown,,1989,North America,North America,2,chatgpt,Small-town America
123,HonorableMention,In a Sunburned Country,Bill Bryson,unknown,unknown,unknown,,2000,Oceania / Australia,Oceania,2,chatgpt,Australia humor
124,Cut,A Fortunate Traveller,Eric Newby,unknown,unknown,unknown,,1994,Multiple,,3,chatgpt,Anthology of travels
125,HonorableMention,A Writer's World,Jan Morris,unknown,unknown,unknown,,2003,Multiple,,2,chatgpt,Travel essays
126,HonorableMention,Trieste and the Meaning of Nowhere,Jan Morris,unknown,unknown,unknown,,2001,Europe / Italy,Europe,2,chatgpt,City meditation
127,Completed,A Pattern of Islands,Arthur Grimble,unknown,unknown,unknown,,1952,Oceania,Oceania,3,chatgpt,Colonial Pacific
128,HonorableMention,The Japanese Journey,Nicolas Bouvier,unknown,unknown,unknown,,1989,Asia / Japan,Asia,3,chatgpt,Japan travel
129,HonorableMention,Slow Boats to China,Gavin Young,unknown,unknown,unknown,,1983,Asia,Asia,2,chatgpt,Sea voyage
131,HonorableMention,At the Tomb of the Inflatable Pig,Matthew Parris,unknown,unknown,unknown,,2003,South America / Paraguay,South America,2,user,Offbeat Paraguay
132,Cut,India,Geoffrey Moorehead,unknown,unknown,unknown,,,,,Asia / India,3,user
133,HonorableMention,Travels with Herodotus,Ryszard Kapuściński,unknown,unknown,unknown,,2007,Multiple,,2,user,Philosophical reportage
134,HonorableMention,Journey without Maps,Graham Greene,unknown,unknown,unknown,,1936,Africa / Liberia,Africa,3,user,West Africa trek
135,HonorableMention,Apples are from Kazakhstan,Christopher Robbins,unknown,unknown,unknown,,2008,Asia / Kazakhstan,Asia,3,user,Central Asia obscure
136,HonorableMention,Hearing Birds Fly,Louisa Waugh,unknown,unknown,unknown,,2003,Asia / Mongolia,Asia,3,user,Mongolia immersion
138,HonorableMention,Somebody's Heart is Burning,Tanya Shaffer,unknown,unknown,unknown,,2003,Africa,Africa,2,user,West Africa journey
139,HonorableMention,The Ponds of Kalambayi,Mike Tidwell,unknown,unknown,unknown,,1990,Africa,Africa,3,user,Peace Corps Congo
140,HonorableMention,Eiger Dreams,Jon Krakauer,unknown,unknown,unknown,,1990,Multiple,,2,user,Mountaineering essays
141,HonorableMention,The World Is a Carpet,Anna Badkhen,unknown,unknown,unknown,,2013,Asia / Afghanistan,Asia,3,user,War zone immersion
142,Completed,Maximum City,Suketu Mehta,unknown,unknown,unknown,,2004,Asia / India,Asia,2,chatgpt+user,Mumbai narrative
143,HonorableMention,City of Djinns,William Dalrymple,unknown,unknown,unknown,,1993,Asia / India,Asia,2,user,Delhi historical
145,Completed,From Heaven Lake,Vikram Seth,unknown,unknown,unknown,,1983,Asia / China,Asia,2,chatgpt+user,Hitchhiking China
146,HonorableMention,Endurance,Alfred Lansing,unknown,unknown,unknown,,1959,Antarctica,Antarctica,1,user,Shackleton expedition (3rd person)
147,Completed,Naples '44,Norman Lewis,unknown,unknown,unknown,,1978,Europe / Italy,Europe,2,user,WWII Naples
150,Completed,Walking with Abel: Journeys with the Nomads of the African Savannah,Anna Badkhen,unknown,unknown,unknown,,2015,Africa / Mali,Africa,3,user,Fulani herders migration
151,Cut,India: Travel Impressions,Enrico Bertarelli,unknown,unknown,unknown,,1909,Asia / India,Asia,4,user,Early Italian travelogue (orig: Impressioni di viaggio)
152,Completed,The Cruelest Journey: 600 Miles to Timbuktu,Kira Salak,unknown,unknown,unknown,,2004,Africa / Mali,Africa,2,new-addition,Woman author - solo kayaking Niger River to Timbuktu
153,Completed,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark Adams,unknown,unknown,unknown,,2011,South America / Peru,South America,2,new-addition,Contemporary bestseller - historical detective work with wry humor
154,Completed,Motoring with Mohammed: Journeys to Yemen and the Red Sea,Eric Hansen,unknown,unknown,unknown,,1991,Middle East / Yemen,Asia,2,new-addition,Yemen and Red Sea journeys - Hansen's second masterpiece
155,Completed,The Roads to Sata,Alan Booth,male,no,no,,1985,Asia / Japan,Asia,2,user,Walking the length of Japan - Cape Soya to Cape Sata
156,Completed,News from Tartary,Peter Fleming,male,no,no,,1935,Asia / Central Asia,Asia,2,user,Peking to Kashmir across Xinjiang - Silk Road adventure with Ella Maillart
157,Completed,The Great Game,Peter Hopkirk,male,no,no,,1990,Asia / Central Asia,Asia,2,user,Historical narrative of British-Russian rivalry in Central Asia
158,Completed,Passage to Juneau,Jonathan Raban,male,no,no,,1999,North America / Pacific Northwest,North America,2,user,Solo sailing Inside Passage - maritime literature with grief and indigenous history
159,Completed,Travels with a Tangerine,Tim Mackintosh-Smith,male,no,no,,2001,North Africa / Middle East,Africa|Asia,2,user,Following Ibn Battutah from Morocco to Turkey - historical footsteps with Arabic scholarship
160,Completed,Roads to Santiago,Cees Nooteboom,male,no,no,,1992,Europe / Spain,Europe,3,user,Wandering through Spain hunting Romanesque churches and Zurbarán paintings - literary detours
161,Completed,Border,Kapka Kassabova,female,no,no,,2017,Europe / Balkans,Europe,3,user,Bulgaria-Turkey-Greece borderlands - Cold War ghosts and refugee stories
162,Completed,Dark Continent My Black Arse,Sihle Khumalo,male,no,yes,,2007,Africa,Africa,3,user,Cape Town to Cairo by public transport - African perspective dismantling stereotypes
163,Completed,My Traitor's Heart,Rian Malan,male,no,no,,1990,Africa / South Africa,Africa,3,user,Afrikaner journalist confronting apartheid violence and family legacy
164,Completed,One Day I Will Write About This Place,Binyavanga Wainaina,male,no,yes,,2011,Africa / Kenya,Africa,3,user,Kenyan coming-of-age memoir - sensory and linguistic exploration
165,Completed,When a Crocodile Eats the Sun,Peter Godwin,male,no,no,,2006,Africa / Zimbabwe,Africa,2,user,Zimbabwe's collapse under Mugabe - family memoir and political witness
166,Completed,Indonesia Etc,Elizabeth Pisani,female,no,no,,2014,Asia / Indonesia,Asia,2,user,Exploring Indonesian archipelago - epidemiologist's witty political sociology
167,HonorableMention,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,male,no,no,,1974,North America,North America,2,user,Philosophical motorcycle journey - inquiry into quality and values
168,Completed,The Turkish Embassy Letters,Lady Mary Wortley Montagu,female,no,no,,1763,Asia / Ottoman Empire,Asia,3,user,18th-century letters from Constantinople - pioneering female travel writer introducing smallpox inoculation
169,Completed,Catfish and Mandala,Andrew X. Pham,male,no,yes,,1999,Asia / Vietnam,Asia,2,user,Vietnamese-American bicycle journey through Vietnam - refugee identity and family trauma
170,Completed,Out of Sheer Rage,Geoff Dyer,male,no,no,,1997,Multiple,Europe,3,user,Anti-travel book wrestling with D.H. Lawrence - meta-narrative about failing to write
171,Completed,The First Voyage Around the World,Antonio Pigafetta,male,no,no,,1525,Global,Global,2,user,Magellan expedition chronicle - first circumnavigation eyewitness account
172,Completed,A Lady's Life in the Rocky Mountains,Isabella Bird,female,no,no,,1879,North America / Colorado,North America,2,user,Victorian woman's solo journey through Colorado Rockies - pioneering female travel writer
